Estado;Entrada;Saida;initial: 0
0;identificador;1;final: 3
0;expressao;2;
0;";";3;
0;if;4;
0;while;5;
0;scan;6;
0;print;7;
0;return;8;
1;[;9;
1;.;10;
1;=;11;
1;+=;11;
1;-=;11;
1;*=;11;
1;/=;11;
2;";";3;
4;(;17;
5;(;33;
6;identificador;13;
7;expressao;12;
8;expressao;2;
8;";";3;
9;expressao;14;
10;identificador;1;
11;expressao;2;
12;";";3;
12;,;7;
13;[;15;
13;.;6;
13;";";3;
13;,;6;
14;];1;
15;expressao;16;
16;];13;
17;expressao;18;
17;);19;
18;);19;
19;then;20;
20;tipo;21;
20;comando;22;
20;else;23;
20;end;24;
21;identificador;42;
22;comando;22;
22;else;23;
22;end;24;
23;tipo;25;
23;comando;26;
23;end;24;
24;if;3;
25;identificador;27;
26;comando;26;
26;end;24;
27;[;28;
27;";";23;
27;,;29;
28;inteiro;40;
29;identificador;30;
30;[;31;
30;";";23;
31;inteiro;32;
32;];30;
33;expressao;34;
33;);35;
34;);35;
35;do;36;
36;tipo;37;
36;comando;38;
36;end;39;
37;identificador;41;
38;comando;38;
38;end;39;
39;while;3;
40;];27;
41;[;43;
41;";";36;
41;,;44;
42;[;45;
42;";";20;
42;,;46;
43;inteiro;53;
44;identificador;47;
45;inteiro;54;
46;identificador;48;
47;[;49;
47;";";36;
48;[;50;
48;";";20;
49;inteiro;51;
50;inteiro;52;
51;];47;
52;];48;
53;];41;
54;];42;
