Estado;Entrada;Saida;initial: 0
0;" ""!""";1;final: 2, 3, 9, 12, 14, 24, 25, 30, 32, 34, 37, 42, 43, 46, 51, 52, 55, 60, 61, 64, 71
0;" ""-""";1;
0; constante;2;
0; identificador;3;
1;" ""(""";4;
3;" ""(""";5;
3;" ""[""";6;
3;" "".""";7;
4; expressao;8;
5; expressao;11;
5;" "")""";12;
6; expressao;10;
7; identificador;9;
8;" "")""";2;
9;" ""[""";6;
9;" "".""";7;
10;" ""]""";9;
11;" "")""";12;
11;" "",""";22;
12;" ""-""";13;
12; constante;12;
12; identificador;14;
12;" ""^""";15;
12;" ""*""";16;
12;" ""/""";16;
12;" ""+""";13;
12; operador_comparacao;17;
12;" ""and""";18;
12;" ""or""";19;
13;" ""!""";26;
13;" ""-""";26;
14;" ""-""";13;
14;" ""(""";5;
14; constante;12;
14; identificador;14;
14;" ""[""";69;
14;" "".""";70;
14;" ""^""";15;
14;" ""*""";16;
14;" ""/""";16;
14;" ""+""";13;
14; operador_comparacao;17;
14;" ""and""";18;
14;" ""or""";19;
15;" ""!""";66;
15;" ""-""";66;
16;" ""!""";57;
16;" ""-""";57;
17;" ""!""";48;
17;" ""-""";48;
18;" ""!""";39;
18;" ""-""";39;
19;" ""!""";20;
19;" ""-""";20;
20;" ""(""";21;
21; expressao;23;
22; expressao;11;
23;" "")""";24;
24; constante;24;
24; identificador;25;
24;" ""or""";19;
25;" ""(""";5;
25; constante;24;
25; identificador;25;
25;" ""[""";27;
25;" "".""";28;
25;" ""or""";19;
26;" ""(""";29;
27; expressao;33;
28; identificador;30;
29; expressao;31;
30; constante;24;
30; identificador;25;
30;" ""[""";27;
30;" "".""";28;
30;" ""or""";19;
31;" "")""";32;
32;" ""-""";13;
32; constante;32;
32; identificador;34;
32;" ""+""";13;
32; operador_comparacao;17;
32;" ""and""";18;
32;" ""or""";19;
33;" ""]""";30;
34;" ""-""";13;
34;" ""(""";5;
34; constante;32;
34; identificador;34;
34;" ""[""";35;
34;" "".""";36;
34;" ""+""";13;
34; operador_comparacao;17;
34;" ""and""";18;
34;" ""or""";19;
35; expressao;38;
36; identificador;37;
37;" ""-""";13;
37; constante;32;
37; identificador;34;
37;" ""[""";35;
37;" "".""";36;
37;" ""+""";13;
37; operador_comparacao;17;
37;" ""and""";18;
37;" ""or""";19;
38;" ""]""";37;
39;" ""(""";40;
40; expressao;41;
41;" "")""";42;
42; constante;42;
42; identificador;43;
42;" ""and""";18;
42;" ""or""";19;
43;" ""(""";5;
43; constante;42;
43; identificador;43;
43;" ""[""";44;
43;" "".""";45;
43;" ""and""";18;
43;" ""or""";19;
44; expressao;47;
45; identificador;46;
46; constante;42;
46; identificador;43;
46;" ""[""";44;
46;" "".""";45;
46;" ""and""";18;
46;" ""or""";19;
47;" ""]""";46;
48;" ""(""";49;
49; expressao;50;
50;" "")""";51;
51; constante;51;
51; identificador;52;
51; operador_comparacao;17;
51;" ""and""";18;
51;" ""or""";19;
52;" ""(""";5;
52; constante;51;
52; identificador;52;
52;" ""[""";53;
52;" "".""";54;
52; operador_comparacao;17;
52;" ""and""";18;
52;" ""or""";19;
53; expressao;56;
54; identificador;55;
55; constante;51;
55; identificador;52;
55;" ""[""";53;
55;" "".""";54;
55; operador_comparacao;17;
55;" ""and""";18;
55;" ""or""";19;
56;" ""]""";55;
57;" ""(""";58;
58; expressao;59;
59;" "")""";60;
60;" ""-""";13;
60; constante;60;
60; identificador;61;
60;" ""*""";16;
60;" ""/""";16;
60;" ""+""";13;
60; operador_comparacao;17;
60;" ""and""";18;
60;" ""or""";19;
61;" ""-""";13;
61;" ""(""";5;
61; constante;60;
61; identificador;61;
61;" ""[""";62;
61;" "".""";63;
61;" ""*""";16;
61;" ""/""";16;
61;" ""+""";13;
61; operador_comparacao;17;
61;" ""and""";18;
61;" ""or""";19;
62; expressao;65;
63; identificador;64;
64;" ""-""";13;
64; constante;60;
64; identificador;61;
64;" ""[""";62;
64;" "".""";63;
64;" ""*""";16;
64;" ""/""";16;
64;" ""+""";13;
64; operador_comparacao;17;
64;" ""and""";18;
64;" ""or""";19;
65;" ""]""";64;
66;" ""(""";67;
67; expressao;68;
68;" "")""";12;
69; expressao;72;
70; identificador;71;
71;" ""-""";13;
71; constante;12;
71; identificador;14;
71;" ""[""";69;
71;" "".""";70;
71;" ""^""";15;
71;" ""*""";16;
71;" ""/""";16;
71;" ""+""";13;
71; operador_comparacao;17;
71;" ""and""";18;
71;" ""or""";19;
72;" ""]""";71;
