Estado;Entrada;Saida;initial: 0
0;"""const""";1;final: 14
0;"""typedef""";2;
0;tipo;3;
0;"""struct""";4;
0;"""function""";5;
0;"""program""";6;
1;identificador;7;
2;identificador;15;
3;identificador;23;
4;identificador;38;
5;tipo;33;
5;"""void""";33;
6;"""begin""";8;
7;"""=""";9;
8;tipo;10;
8;"""end""";11;
8;comando;12;
9;constante;13;
10;identificador;16;
11;"""program""";14;
12;"""end""";11;
12;comando;12;
13;""";""";0;
15;tipo;17;
16;""";""";8;
16;"""[""";18;
16;""",""";19;
17;""";""";20;
18;inteiro;30;
19;identificador;21;
20;"""typedef""";2;
20;tipo;3;
20;"""struct""";4;
20;"""function""";5;
20;"""program""";6;
21;""";""";8;
21;"""[""";22;
22;inteiro;24;
23;""";""";25;
23;"""[""";26;
23;""",""";27;
24;"""]""";21;
25;tipo;3;
25;"""function""";5;
25;"""program""";6;
26;inteiro;32;
27;identificador;28;
28;""";""";25;
28;"""[""";29;
29;inteiro;31;
30;"""]""";16;
31;"""]""";28;
32;"""]""";23;
33;identificador;34;
34;"""(""";35;
35;tipo;36;
35;""")""";37;
36;identificador;63;
36;"""byref""";64;
37;"""begin""";39;
38;"""begin""";40;
39;tipo;41;
39;"""end""";42;
39;comando;43;
40;tipo;44;
41;identificador;51;
42;"""function""";46;
43;"""end""";42;
43;comando;43;
44;identificador;45;
45;""";""";47;
45;"""[""";48;
45;""",""";49;
46;"""function""";5;
46;"""program""";6;
47;tipo;44;
47;"""end""";61;
48;inteiro;59;
49;identificador;50;
50;""";""";47;
50;"""[""";52;
51;""";""";39;
51;"""[""";53;
51;""",""";54;
52;inteiro;55;
53;inteiro;60;
54;identificador;56;
55;"""]""";50;
56;""";""";39;
56;"""[""";57;
57;inteiro;58;
58;"""]""";56;
59;"""]""";45;
60;"""]""";51;
61;"""struct""";62;
62;tipo;3;
62;"""struct""";4;
62;"""function""";5;
62;"""program""";6;
63;"""[""";65;
63;""",""";66;
63;""")""";37;
64;identificador;63;
65;inteiro;67;
66;tipo;36;
67;"""]""";63;
